Score Aviloo,SoH Readout,VIN,BIB SOH,Brand (FlashTest),Model Group (FlashTest),Mileage
86,89.39,LRW3E7FA4LC097954,0.98,Tesla,Model 3 - 55 kWh - CATL - LFP - new SW,106173.456
86,90.05,LRW3E7FA5LC098336,0.98,Tesla,Model 3 - 55 kWh - CATL - LFP - new SW,125804.936
84,85.73,5YJ3E7EA6KF522743,0.92,Tesla,"Model 3 - 52,4 kWh - Panasonic - new SW",95315.76
87,90.53,LRW3E7FAXLC099773,0.98,Tesla,Model 3 - 55 kWh - CATL - LFP - new SW,107007.202
86,87.4,5YJ3E7EA3LF558763,0.95,Tesla,"Model 3 - 52,4 kWh - Panasonic - new SW",88470.104
90,89.84,LRW3E7FA5LC103115,0.98,Tesla,Model 3 - 55 kWh - CATL - LFP - new SW,21248.942
83,84.89,5YJ3E7EA6LF558840,0.89,Tesla,"Model 3 - 52,4 kWh - Panasonic - new SW",144907.261
89,92.06,5YJ3E7EA3LF552056,0.97,Tesla,"Model 3 - 52,4 kWh - Panasonic - new SW",91702.167
94,92.49,YV1XZEDVEM2484109,0.82,Volvo,XC40 Recharge - 78 kWh - LG Chem,77068
94,92.53,YV1XZEDVEM2473367,0.89,Volvo,XC40 Recharge - 78 kWh - LG Chem,67215
96,96.48,W1K2938901F003139,0.9,Mercedes-Benz,EQC 400 - 85 kWh,75091.1
